leg een van jouw munten terug
leg een van jouw munten terug
Sla twee beurten over
Sla twee beurten over
Ga terug naar je begin pad
Ga terug naar je begin pad
Ga 1 stap terug via de weg waar je vandaan kwam
Ga 1 stap terug via de weg waar je vandaan kwam
Ga 1 stap terug via de weg waar je vandaan kwam
Ga 1 stap terug via de weg waar je vandaan kwam
De verdediger mag een pad naar keuze omdraaien
De verdediger mag een pad naar keuze omdraaien
De verdediger mag een pad naar keuze omdraaien
De verdediger mag een pad naar keuze omdraaien
Sla een beurt over
Sla een beurt over
Sla een beurt over
Sla een beurt over
Ga terug naar je laatst bezochte groene pad
Ga terug naar je laatst bezochte groene pad
